,benchmark,nodenum=300,iterations=300,threshold=0.8,per_NICN=0.6,per_NIC=0.6,LLM=1
161,,,-0.32339700912764974,,,,
162,,,-0.32352331070185625,,,,
163,,,-0.323625791766378,,,,
164,,,-0.32377390542349394,,,,
165,,,-0.32388640520735734,,,,
166,,,-0.3239535503434345,,,,
167,,,-0.32402260093193463,,,,
168,,,-0.3240660836507396,,,,
169,,,-0.3241574800680154,,,,
170,,,-0.32419492756910934,,,,
171,,,-0.3242449618861638,,,,
172,,,-0.3242715773035297,,,,
173,,,-0.32427221563283337,,,,
174,,,-0.32433244462685645,,,,
175,,,-0.32435821436160234,,,,
176,,,-0.3244051848694911,,,,
177,,,-0.3244507510794225,,,,
178,,,-0.32449670290451954,,,,
179,,,-0.32453342627359866,,,,
180,,,-0.3245642775890215,,,,
181,,,-0.3246088068568009,,,,
182,,,-0.3247093001299455,,,,
183,,,-0.32480817809433454,,,,
184,,,-0.3248787208133239,,,,
185,,,-0.3249438142144716,,,,
186,,,-0.3249953185575969,,,,
187,,,-0.32511872885601145,,,,
188,,,-0.32502649199173306,,,,
189,,,-0.3250622306190941,,,,
190,,,-0.3251175333943284,,,,
191,,,-0.325172838806831,,,,
192,,,-0.3250912531472624,,,,
193,,,-0.3252178756136776,,,,
194,,,-0.3252685012358974,,,,
195,,,-0.32530605243189137,,,,
196,,,-0.32537385719524375,,,,
197,,,-0.32538855536108274,,,,
198,,,-0.3253996849955139,,,,
199,,,-0.3255083838375372,,,,
200,,,-0.32555480749434307,,,,
201,,,-0.3255923656698447,,,,
202,,,-0.3255296970590937,,,,
203,,,-0.32554498575318375,,,,
204,,,-0.32558791058086584,,,,
205,,,-0.3256543017878463,,,,
206,,,-0.3256909989448649,,,,
207,,,-0.3257059373754933,,,,
208,,,-0.3255706405460897,,,,
209,,,-0.3257197394237275,,,,
210,,,-0.3257372379116317,,,,
211,,,-0.3257394077232697,,,,
212,,,-0.32582726170620874,,,,
213,,,-0.3258901804930033,,,,
214,,,-0.32589015470910754,,,,
215,,,-0.32586841587803334,,,,
216,,,-0.32589154384238644,,,,
217,,,-0.32593680327786667,,,,
218,,,-0.32599093377287924,,,,
219,,,-0.32601633610200303,,,,
220,,,-0.32602474870820425,,,,
221,,,-0.3260684987165564,,,,
222,,,-0.3261203473954547,,,,
223,,,-0.3261776244211491,,,,
224,,,-0.32618026718017085,,,,
225,,,-0.3261954150246318,,,,
226,,,-0.3262250313059162,,,,
227,,,-0.32626127844858915,,,,
228,,,-0.3262821288233134,,,,
229,,,-0.32630364089447467,,,,
230,,,-0.32631560001313253,,,,
231,,,-0.32634203175290993,,,,
232,,,-0.32640610689850824,,,,
233,,,-0.3263912481946978,,,,
234,,,-0.326417103633467,,,,
235,,,-0.32630628225820224,,,,
236,,,-0.32656946609102583,,,,
237,,,-0.32653396936637613,,,,
238,,,-0.32651064410326325,,,,
239,,,-0.32655139888543094,,,,
240,,,-0.32656587279171745,,,,
241,,,-0.32642147749393174,,,,
242,,,-0.32651194636651426,,,,
243,,,-0.32656075595673995,,,,
244,,,-0.3266017653087973,,,,
245,,,-0.3266394288211464,,,,
246,,,-0.32664398507215714,,,,
247,,,-0.32681423430311307,,,,
248,,,-0.3270051111673417,,,,
249,,,-0.3271181202090279,,,,
250,,,-0.32708967840078296,,,,
251,,,-0.327078269271427,,,,
252,,,-0.32704494122267774,,,,
253,,,-0.3270764359402319,,,,
254,,,-0.32704703327073836,,,,
255,,,-0.32707997085790025,,,,
256,,,-0.32718398470549503,,,,
257,,,-0.3271770661689847,,,,
258,,,-0.32714457914387296,,,,
259,,,-0.3271615839070517,,,,
260,,,-0.3271810077972902,,,,
261,,,-0.3272090341124833,,,,
262,,,-0.3272408761651347,,,,
263,,,-0.3272555152464859,,,,
264,,,-0.32727230874913377,,,,
265,,,-0.32729617755840223,,,,
266,,,-0.32731762750886445,,,,
267,,,-0.3273360937953671,,,,
268,,,-0.3273490849765511,,,,
269,,,-0.327352281781139,,,,
270,,,-0.327382475517384,,,,
271,,,-0.3273049519372654,,,,
272,,,-0.32737186864783707,,,,
273,,,-0.32756452534188546,,,,
274,,,-0.3275498948480314,,,,
275,,,-0.3275580463616839,,,,
276,,,-0.32757157337406784,,,,
277,,,-0.3275750173380612,,,,
278,,,-0.3276775094160238,,,,
279,,,-0.3276485746478416,,,,
280,,,-0.32768657651735517,,,,
281,,,-0.3277069651449256,,,,
282,,,-0.3276593461954617,,,,
283,,,-0.32768504124347425,,,,
